Indianapolis Crimson Knights|50|Cambridge City Lincoln|14
Middle Tennessee Christian School|47|Ezell-Harding Christian Academy|12
Hewlett Sports Academy|14|Legacy Sports Agency|9
MU Sports Academy|8|The Hun School|55
Venice|42|Rabun Gap - Nacoochee|40
IMG Academy|59|Lone Peak|3
St John Bosco|28|Bishop Gorman|38
Tafuna|38|Mojave|0
Aiken|18|Clark Montessori|12
Lakeside|14|Lutheran East|7
Chalker|22|Stryker|24
Danbury|14|St Mary Central Catholic|49
Fairborn|31|Tecumseh|7
Independence|6|Meadowdale|8
Lakewood|36|John Marshall|0
Lucas|29|Catholic Central|13
McDonald|44|Valley Christian School|0
Meigs|21|Eastern|13
Norwood|0|Deer Park|43
Oakwood|43|West Carrollton|6
Purcell Marian|51|Thurgood Marshall|0
St Joseph Central Catholic|44|Holgate|20
Southeastern Local|20|Northwestern|6
Taft|6|Kirtland|51
West Muskingum|51|Lakewood|0
Winton Woods|13|Springfield|14
Xenia|16|Beavercreek|17
Landmark Eagles|14|West Union|0
Peebles|14|North Adams|12
Johnson Central|30|Letcher County Central|6
Pleasure Ridge Park|28|Shelby Valley|13
Wayne County|7|Somerset|42
Washtenaw Saints|27|Noblesville Lions|46
Tri-State King's Crusaders|58|Kosciusko Thunder|12
Oakland|56|Christ Presbyterian Academy|7
Orem|14|Skyridge|21
James B. Dudley|6|Cardinal Gibbons|45
