name,school,city,school_id,division,region,record,harbin
Avon Lake (Avon Lake),Avon Lake,Avon Lake,152,II,6,0-1,0.0
Bowsher (Toledo),Bowsher,Toledo,244,II,6,0-1,0.0
Fremont Ross (Fremont),Fremont Ross,Fremont,616,II,6,0-1,0.0
Normandy (Parma),Normandy,Parma,1118,II,6,0-1,0.0
North Olmsted (North Olmsted),North Olmsted,North Olmsted,1146,II,6,0-1,0.0
North Ridgeville (North Ridgeville),North Ridgeville,North Ridgeville,1152,II,6,0-1,0.0
Olmsted Falls (Olmsted Falls),Olmsted Falls,Olmsted Falls,1204,II,6,0-1,0.0
Rhodes (Cleveland),Rhodes,Cleveland,1292,II,6,0-1,0.0
Rogers (Toledo),Rogers,Toledo,1324,II,6,0-1,0.0
Sandusky (Sandusky),Sandusky,Sandusky,1394,II,6,0-1,0.0
Sylvania Northview (Sylvania),Sylvania Northview,Sylvania,1510,II,6,0-1,0.0
Valley Forge (Parma Heights),Valley Forge,Parma Heights,1588,II,6,0-1,0.0
Waite (Toledo),Waite,Toledo,1608,II,6,0-1,0.0
Westlake (Westlake),Westlake,Westlake,1684,II,6,0-1,0.0
Big Walnut (Sunbury),Big Walnut,Sunbury,214,II,7,1-0,6.5
Bishop Watterson (Columbus),Bishop Watterson,Columbus,224,II,7,1-0,6.0
Hamilton Township (Columbus),Hamilton Township,Columbus,686,II,7,1-0,6.0
Lake (Uniontown),Lake,Uniontown,822,II,7,1-0,6.0
Marion Harding (Marion),Marion Harding,Marion,690,II,7,1-0,6.0
Hoover (North Canton),Hoover,North Canton,730,II,7,1-0,5.5
Louisville (Louisville),Louisville,Louisville,902,II,7,1-0,5.5
Massillon Washington (Massillon),Massillon Washington,Massillon,1624,II,7,1-0,5.5
St Francis DeSales (Columbus),St Francis DeSales,Columbus,1348,II,7,1-0,5.5
Ashland (Ashland),Ashland,Ashland,138,II,7,1-0,5.0
New Albany (New Albany),New Albany,New Albany,1086,II,7,1-0,5.0
Perry (Massillon),Perry,Massillon,1244,II,7,1-0,4.5
Canal Winchester (Canal Winchester),Canal Winchester,Canal Winchester,302,II,7,0-1,0.0
Green (Uniontown),Green,Uniontown,670,II,7,0-1,0.0
Independence (Columbus),Independence,Columbus,748,II,7,0-1,0.0
Logan (Logan),Logan,Logan,888,II,7,0-1,0.0
Mifflin (Columbus),Mifflin,Columbus,1032,II,7,0-1,0.0
Mount Vernon (Mount Vernon),Mount Vernon,Mount Vernon,1078,II,7,0-1,0.0
Northland (Columbus),Northland,Columbus,1140,II,7,0-1,0.0
Teays Valley (Ashville),Teays Valley,Ashville,1526,II,7,0-1,0.0
Walnut Ridge (Columbus),Walnut Ridge,Columbus,1612,II,7,0-1,0.0
Watkins Memorial (Pataskala),Watkins Memorial,Pataskala,1632,II,7,0-1,0.0
Whetstone (Columbus),Whetstone,Columbus,1698,II,7,0-1,0.0
Whitehall-Yearling (Whitehall),Whitehall-Yearling,Whitehall,1700,II,7,0-1,0.0
Wooster (Wooster),Wooster,Wooster,1736,II,7,0-1,0.0
Badin (Hamilton),Badin,Hamilton,158,II,8,1-0,6.5
Harrison (Harrison),Harrison,Harrison,696,II,8,1-0,6.5
Kings (Kings Mills),Kings,Kings Mills,810,II,8,1-0,6.5
La Salle (Cincinnati),La Salle,Cincinnati,842,II,8,1-0,6.5
Withrow (Cincinnati),Withrow,Cincinnati,1720,II,8,1-0,6.5
Lima Senior (Lima),Lima Senior,Lima,872,II,8,1-0,6.0
West (Columbus),West,Columbus,1656,II,8,1-0,6.0
Butler (Vandalia),Butler,Vandalia,292,II,8,1-0,5.5
Fairborn (Fairborn),Fairborn,Fairborn,548,II,8,1-0,5.5
Stebbins (Riverside),Stebbins,Riverside,1484,II,8,1-0,5.5
Aiken (Cincinnati),Aiken,Cincinnati,106,II,8,1-0,5.0
Belmont (Dayton),Belmont,Dayton,192,II,8,1-0,5.0
Talawanda (Oxford),Talawanda,Oxford,1520,II,8,1-0,5.0
Anderson (Cincinnati),Anderson,Cincinnati,118,II,8,0-1,0.0
Briggs (Columbus),Briggs,Columbus,252,II,8,0-1,0.0
Edgewood (Trenton),Edgewood,Trenton,516,II,8,0-1,0.0
Franklin Heights (Columbus),Franklin Heights,Columbus,610,II,8,0-1,0.0
Loveland (Loveland),Loveland,Loveland,904,II,8,0-1,0.0
Piqua (Piqua),Piqua,Piqua,1258,II,8,0-1,0.0
Ross (Hamilton),Ross,Hamilton,1330,II,8,0-1,0.0
Sidney (Sidney),Sidney,Sidney,1422,II,8,0-1,0.0
Trotwood-Madison (Trotwood),Trotwood-Madison,Trotwood,1550,II,8,0-1,0.0
Troy (Troy),Troy,Troy,1552,II,8,0-1,0.0
Turpin (Cincinnati),Turpin,Cincinnati,1554,II,8,0-1,0.0
Xenia (Xenia),Xenia,Xenia,1746,II,8,0-1,0.0
Aurora (Aurora),Aurora,Aurora,146,III,9,1-0,6.5
Kenston (Chagrin Falls),Kenston,Chagrin Falls,802,III,9,1-0,6.5
Maple Heights (Maple Heights),Maple Heights,Maple Heights,944,III,9,1-0,6.5
Kent Roosevelt (Kent),Kent Roosevelt,Kent,1326,III,9,1-0,6.0
South (Willoughby),South,Willoughby,1440,III,9,1-0,6.0
Tallmadge (Tallmadge),Tallmadge,Tallmadge,1522,III,9,1-0,6.0
Benedictine (Cleveland),Benedictine,Cleveland,196,III,9,1-0,5.5
Garfield Heights (Garfield Heights),Garfield Heights,Garfield Heights,632,III,9,1-0,5.5
John Adams (Cleveland),John Adams,Cleveland,782,III,9,1-0,5.5
Hawken (Gates Mills),Hawken,Gates Mills,702,III,9,1-0,5.0
Howland (Warren),Howland,Warren,736,III,9,1-0,5.0
Lakeside (Ashtabula),Lakeside,Ashtabula,140,III,9,1-0,5.0
Notre Dame-Cathedral Latin (Chardon),Notre Dame-Cathedral Latin,Chardon,1180,III,9,1-0,5.0
Salem (Salem),Salem,Salem,1392,III,9,1-0,5.0
University School (Hunting Valley),University School,Hunting Valley,1571,III,9,1-0,5.0
Harvey (Painesville),Harvey,Painesville,698,III,9,1-0,4.5
Alliance (Alliance),Alliance,Alliance,112,III,9,0-1,0.0
Bedford (Bedford),Bedford,Bedford,180,III,9,0-1,0.0
Canfield (Canfield),Canfield,Canfield,304,III,9,0-1,0.0
Chardon (Chardon),Chardon,Chardon,360,III,9,0-1,0.0
Cuyahoga Valley Christian Academy (Cuyahoga Falls),Cuyahoga Valley Christian Academy,Cuyahoga Falls,448,III,9,0-1,0.0
Geneva (Geneva),Geneva,Geneva,634,III,9,0-1,0.0
Gilmour Academy (Gates Mills),Gilmour Academy,Gates Mills,642,III,9,0-1,0.0
John F Kennedy (Cleveland),John F Kennedy,Cleveland,784,III,9,0-1,0.0
Lake Catholic (Mentor),Lake Catholic,Mentor,824,III,9,0-1,0.0
Madison (Madison),Madison,Madison,922,III,9,0-1,0.0
Ursuline (Youngstown),Ursuline,Youngstown,1580,III,9,0-1,0.0
Holy Name (Parma Heights),Holy Name,Parma Heights,728,III,10,1-0,6.0
Midview (Grafton),Midview,Grafton,1030,III,10,1-0,6.0
Tiffin Columbian (Tiffin),Tiffin Columbian,Tiffin,406,III,10,1-0,6.0
Elyria Catholic (Elyria),Elyria Catholic,Elyria,534,III,10,1-0,5.5
Ontario (Ontario),Ontario,Ontario,1206,III,10,1-0,5.5
Cloverleaf (Seville),Cloverleaf,Seville,390,III,10,1-0,5.0
Copley (Copley),Copley,Copley,422,III,10,1-0,5.0
Defiance (Defiance),Defiance,Defiance,464,III,10,1-0,5.0
St Marys Memorial (St Marys),St Marys Memorial,St Marys,1012,III,10,1-0,4.5
Celina (Celina),Celina,Celina,330,III,10,1-0,4.0
Bowling Green (Bowling Green),Bowling Green,Bowling Green,242,III,10,0-1,0.0
Buchtel (Akron),Buchtel,Akron,274,III,10,0-1,0.0
East Technical (Cleveland),East Technical,Cleveland,506,III,10,0-0,0.0
Lexington (Lexington),Lexington,Lexington,856,III,10,0-1,0.0
Lutheran West (Rocky River),Lutheran West,Rocky River,914,III,10,0-1,0.0
Madison Comprehensive (Mansfield),Madison Comprehensive,Mansfield,926,III,10,0-1,0.0
Mansfield Senior (Mansfield),Mansfield Senior,Mansfield,940,III,10,0-1,0.0
Maumee (Maumee),Maumee,Maumee,976,III,10,0-1,0.0
Norwalk (Norwalk),Norwalk,Norwalk,1160,III,10,0-1,0.0
Padua Franciscan (Parma),Padua Franciscan,Parma,1224,III,10,0-1,0.0
Revere (Richfield),Revere,Richfield,1288,III,10,0-1,0.0
Scott (Toledo),Scott,Toledo,1398,III,10,0-2,0.0
Shawnee (Lima),Shawnee,Lima,1412,III,10,0-1,0.0
St Vincent-St Mary (Akron),St Vincent-St Mary,Akron,1384,III,10,0-1,0.0
Wapakoneta (Wapakoneta),Wapakoneta,Wapakoneta,1616,III,10,0-1,0.0
Woodward (Toledo),Woodward,Toledo,1734,III,10,0-1,0.0
Dover (Dover),Dover,Dover,472,III,11,1-0,6.5
Athens (The Plains),Athens,The Plains,144,III,11,1-0,6.0
East (Columbus),East,Columbus,482,III,11,1-0,6.0
South (Columbus),South,Columbus,1436,III,11,1-0,6.0
Steubenville (Steubenville),Steubenville,Steubenville,1488,III,11,1-0,6.0
Beechcroft (Columbus),Beechcroft,Columbus,186,III,11,1-0,5.5
Licking Valley (Newark),Licking Valley,Newark,870,III,11,1-0,5.5
Linden McKinley (Columbus),Linden McKinley,Columbus,882,III,11,1-0,5.5
Zanesville (Zanesville),Zanesville,Zanesville,1750,III,11,1-0,5.5
Bloom-Carroll (Carroll),Bloom-Carroll,Carroll,232,III,11,1-0,5.0
Jonathan Alder (Plain City),Jonathan Alder,Plain City,796,III,11,1-0,4.5
Tri-Valley (Dresden),Tri-Valley,Dresden,1544,III,11,1-0,4.5
Bexley (Columbus),Bexley,Columbus,212,III,11,0-1,0.0
Bishop Hartley (Columbus),Bishop Hartley,Columbus,218,III,11,0-1,0.0
Centennial (Columbus),Centennial,Columbus,332,III,11,0-1,0.0
Eastmoor Academy (Columbus),Eastmoor Academy,Columbus,502,III,11,0-1,0.0
Gallia Academy (Gallipolis),Gallia Academy,Gallipolis,622,III,11,0-1,0.0
Granville (Granville),Granville,Granville,666,III,11,0-1,0.0
Jackson (Jackson),Jackson,Jackson,762,III,11,0-1,0.0
KIPP Columbus (Columbus),KIPP Columbus,Columbus,9592,III,11,0-1,0.0
Marietta (Marietta),Marietta,Marietta,956,III,11,0-1,0.0
Maysville (Zanesville),Maysville,Zanesville,982,III,11,0-1,0.0
New Philadelphia (New Philadelphia),New Philadelphia,New Philadelphia,1106,III,11,0-1,0.0
Sheridan (Thornville),Sheridan,Thornville,1420,III,11,0-1,0.0
Warren (Vincent),Warren,Vincent,1618,III,11,0-1,0.0
Archbishop Alter (Kettering),Archbishop Alter,Kettering,132,III,12,1-0,6.5
Archbishop McNicholas (Cincinnati),Archbishop McNicholas,Cincinnati,998,III,12,1-0,6.0
Bellefontaine (Bellefontaine),Bellefontaine,Bellefontaine,188,III,12,1-0,6.0
Monroe (Monroe),Monroe,Monroe,1062,III,12,1-0,6.0
Bellbrook (Bellbrook),Bellbrook,Bellbrook,184,III,12,1-0,5.5
Hughes (Cincinnati),Hughes,Cincinnati,742,III,12,1-0,5.5
Unioto (Chillicothe),Unioto,Chillicothe,1568,III,12,1-0,5.5
Western Brown (Mount Orab),Western Brown,Mount Orab,1664,III,12,1-0,5.5
Chillicothe (Chillicothe),Chillicothe,Chillicothe,364,III,12,1-0,5.0
Goshen (Goshen),Goshen,Goshen,658,III,12,1-0,5.0
Indian Hill (Cincinnati),Indian Hill,Cincinnati,752,III,12,1-0,5.0
Miami Trace (Washington Court House),Miami Trace,Washington Court House,1022,III,12,1-0,5.0
Northwest (Cincinnati),Northwest,Cincinnati,1164,III,12,1-0,5.0
Archbishop Carroll (Dayton),Archbishop Carroll,Dayton,320,III,12,0-1,0.0
Batavia (Batavia),Batavia,Batavia,164,III,12,0-1,0.0
Bethel (Tipp City),Bethel,Tipp City,206,III,12,0-1,0.0
Chaminade Julienne (Dayton),Chaminade Julienne,Dayton,352,III,12,0-1,0.0
Franklin (Franklin),Franklin,Franklin,608,III,12,0-1,0.0
Greenville (Greenville),Greenville,Greenville,678,III,12,0-1,0.0
Hillsboro (Hillsboro),Hillsboro,Hillsboro,718,III,12,0-1,0.0
Mount Healthy (Cincinnati),Mount Healthy,Cincinnati,1074,III,12,0-1,0.0
Ponitz Tech (Dayton),Ponitz Tech,Dayton,1235,III,12,0-1,0.0
Tecumseh (New Carlisle),Tecumseh,New Carlisle,1528,III,12,0-1,0.0
Thurgood Marshall (Dayton),Thurgood Marshall,Dayton,402,III,12,0-1,0.0
Tippecanoe (Tipp City),Tippecanoe,Tipp City,1534,III,12,0-1,0.0
West Carrollton (West Carrollton),West Carrollton,West Carrollton,1660,III,12,0-1,0.0
Norton (Norton),Norton,Norton,1158,IV,13,1-0,6.0
Orange (Pepper Pike),Orange,Pepper Pike,1208,IV,13,1-0,6.0
Orrville (Orrville),Orrville,Orrville,1210,IV,13,1-0,6.0
East (Akron),East,Akron,478,IV,13,1-0,5.5
Northwest (Canal Fulton),Northwest,Canal Fulton,1162,IV,13,1-0,5.5
Woodridge (Peninsula),Woodridge,Peninsula,1724,IV,13,1-0,5.5
Marlington (Alliance),Marlington,Alliance,964,IV,13,1-0,5.0
West Branch (Beloit),West Branch,Beloit,1658,IV,13,1-0,5.0
Rocky River (Rocky River),Rocky River,Rocky River,1320,IV,13,1-0,4.5
West Geauga (Chesterland),West Geauga,Chesterland,1678,IV,13,1-0,4.5
Edgewood (Ashtabula),Edgewood,Ashtabula,514,IV,13,1-0,3.5
Cleveland Central Catholic (Cleveland),Cleveland Central Catholic,Cleveland,384,IV,13,0-1,0.0
Coventry (Coventry Twp),Coventry,Coventry Twp,428,IV,13,0-1,0.0
Field (Mogadore),Field,Mogadore,584,IV,13,0-1,0.0
Hubbard (Hubbard),Hubbard,Hubbard,738,IV,13,0-1,0.0
Jefferson Area (Jefferson),Jefferson Area,Jefferson,774,IV,13,0-1,0.0
Lutheran East (Cleveland Heights),Lutheran East,Cleveland Heights,912,IV,13,0-1,0.0
Niles McKinley (Niles),Niles McKinley,Niles,994,IV,13,0-1,0.0
Poland Seminary (Poland),Poland Seminary,Poland,1264,IV,13,0-1,0.0
Springfield (Akron),Springfield,Akron,1472,IV,13,0-1,0.0
Streetsboro (Streetsboro),Streetsboro,Streetsboro,1496,IV,13,0-1,0.0
